timestamp,amount,app,receiver_vpa,is_fraud
2025-10-10T15:15:14,337.32,GPay,khendricks@example.net,0
2025-04-15T07:11:18,873.1,Paytm,drivera@example.com,1
2025-08-16T21:37:10,47.37,PhonePe,jennifer53@example.com,0
2025-04-04T04:18:06,245.03,GPay,ewood@example.com,0
2025-06-02T15:16:53,550.28,PhonePe,mvelazquez@example.net,1
2025-05-29T11:21:59,553.6,PhonePe,jordanrebecca@example.org,0
2025-01-31T17:03:59,842.61,Paytm,matthewwood@example.net,0
2025-09-28T23:25:14,778.58,GPay,armstrongsara@example.net,0
2025-04-29T23:23:03,60.58,Paytm,briggsjacob@example.com,0
2025-08-20T10:36:20,432.76,PhonePe,marcuscase@example.net,0
2025-05-29T01:51:03,933.63,GPay,cturner@example.org,0
2025-02-13T19:45:38,843.99,GPay,alexanderberg@example.com,0
2025-02-23T02:13:08,882.13,PhonePe,micheallove@example.org,0
2025-04-14T04:27:27,673.5,GPay,paulfitzpatrick@example.com,0
2025-01-21T10:37:56,215.28,Paytm,debra93@example.org,0
2025-11-04T19:55:35,84.22,GPay,shelleyvelasquez@example.com,0
2025-10-29T15:50:57,883.39,PhonePe,olivia30@example.com,0
2025-08-09T00:49:36,177.86,GPay,xrobinson@example.com,0
2025-03-29T18:31:25,434.62,GPay,woodwarderin@example.org,0
2025-01-12T15:30:19,1.82,GPay,simpsonalyssa@example.com,0
2025-03-06T20:39:59,664.16,GPay,sarahmiller@example.net,0
2025-08-02T04:53:25,900.17,GPay,jdavis@example.com,0
2025-05-04T15:06:11,100.05,Paytm,jasonochoa@example.net,0
2025-04-19T11:49:31,731.36,GPay,ryanbullock@example.com,0
2025-04-11T21:09:12,461.63,GPay,megan70@example.org,0
2025-07-13T02:25:37,528.83,Paytm,dawnmartin@example.net,0
2025-11-13T20:26:23,941.03,PhonePe,holtrobert@example.com,1
2025-10-16T03:40:44,493.52,GPay,jeffreywallace@example.com,0
2025-02-21T06:51:33,423.07,PhonePe,uross@example.com,0
2025-03-15T03:05:08,825.7,Paytm,taylorrodriguez@example.org,0
2025-09-08T18:24:41,898.96,GPay,buckleycrystal@example.com,0
2025-11-13T15:03:49,856.44,GPay,lisarandolph@example.org,0
2025-01-10T13:09:49,770.55,PhonePe,mark80@example.org,0
2025-01-10T19:58:25,607.09,GPay,timothyfleming@example.net,0
2025-02-19T17:15:58,461.18,GPay,parkerluis@example.net,0
2025-11-25T19:38:49,352.99,Paytm,davidjohnson@example.com,0
2025-03-30T01:04:57,853.38,Paytm,hammondjeff@example.com,0
2025-07-25T11:26:40,693.09,PhonePe,snyderfrank@example.org,0
2025-03-19T01:46:35,179.02,Paytm,gonzalezcindy@example.com,0
2025-10-03T10:06:17,822.09,PhonePe,aprilmyers@example.net,0
2025-01-11T09:41:29,377.49,PhonePe,barbarawelch@example.com,0
2025-11-01T12:16:36,534.33,Paytm,mauriceball@example.net,0
2025-05-17T19:11:51,870.01,GPay,reneehernandez@example.org,0
2025-09-06T12:38:30,139.23,PhonePe,nperez@example.org,0
2025-07-22T19:22:22,617.13,GPay,aaroncox@example.com,0
2025-09-26T10:21:24,344.09,PhonePe,kimberlyperez@example.org,0
2025-06-14T08:45:36,671.49,GPay,wmiller@example.org,0
2025-07-02T08:27:09,764.23,GPay,ddavis@example.net,0
2025-06-28T07:15:33,579.75,PhonePe,dixonpaul@example.com,0
2025-11-02T23:52:26,268.85,Paytm,duranlindsay@example.org,0
2025-05-29T00:25:00,412.59,PhonePe,garciatravis@example.org,0
2025-06-03T22:57:20,63.87,Paytm,gomezmegan@example.net,0
2025-03-28T07:37:34,396.96,GPay,janicestuart@example.com,1
2025-09-16T17:37:35,553.69,PhonePe,wleblanc@example.com,0
2025-07-27T10:28:28,686.32,Paytm,kimberly73@example.com,0
2025-06-21T21:28:55,352.59,Paytm,david33@example.net,0
2025-03-01T07:53:05,284.94,Paytm,stephaniegillespie@example.net,0
2025-01-07T13:24:04,194.35,Paytm,websterkelly@example.org,0
2025-05-15T09:56:34,847.13,PhonePe,jenniferortega@example.net,0
2025-09-03T04:28:16,243.29,Paytm,gregorymullen@example.com,0
2025-01-23T04:46:08,943.78,PhonePe,nwhite@example.com,0
2025-03-23T23:15:17,733.34,Paytm,diana63@example.net,0
2025-11-03T22:38:59,107.71,Paytm,plin@example.org,0
2025-09-09T13:30:27,534.17,PhonePe,schmidtjoseph@example.net,0
2025-11-04T23:08:07,10.87,Paytm,phill@example.org,0
2025-07-08T13:48:39,640.37,GPay,jermaine84@example.org,0
2025-09-11T16:16:33,327.34,GPay,eddie13@example.com,0
2025-03-09T18:35:44,164.86,PhonePe,gguerrero@example.com,0
2025-09-15T20:39:02,40.05,Paytm,uperez@example.com,0
2025-09-13T02:17:41,602.23,Paytm,paul54@example.com,0
2025-01-18T11:44:14,179.96,PhonePe,lucas91@example.org,0
2025-09-01T04:41:34,359.21,GPay,richardsonronnie@example.net,0
2025-04-14T22:50:52,1.54,Paytm,joneskatie@example.net,0
2025-05-13T21:43:48,555.99,GPay,ronnie09@example.net,0
2025-02-05T11:12:04,330.55,Paytm,nvargas@example.net,0
2025-05-05T16:18:53,551.51,Paytm,wpayne@example.org,0
2025-01-24T09:05:13,474.25,Paytm,zlara@example.org,0
2025-01-08T01:15:53,994.85,PhonePe,gary20@example.org,0
2025-08-30T20:26:40,984.26,GPay,udavis@example.net,0
2025-02-04T21:02:48,925.53,PhonePe,kyleeverett@example.net,0
2025-04-05T14:59:27,915.28,GPay,nbullock@example.com,1
2025-06-29T17:12:42,46.88,PhonePe,ksullivan@example.net,0
2025-07-04T07:16:48,760.01,Paytm,charlessimmons@example.com,0
2025-03-31T20:05:52,888.72,PhonePe,yatestraci@example.org,0
2025-02-21T04:56:45,645.4,PhonePe,rpearson@example.org,1
2025-06-28T19:04:25,388.02,PhonePe,heather88@example.net,0
2025-07-04T12:45:33,767.49,PhonePe,ogomez@example.org,0
2025-09-03T01:01:18,978.77,PhonePe,james91@example.net,0
2025-10-27T00:34:44,432.56,Paytm,mmurphy@example.org,0
2025-07-19T00:47:31,761.41,GPay,hunter12@example.org,0
2025-03-03T13:41:44,653.97,GPay,willismichael@example.org,0
2025-10-28T19:45:20,415.03,GPay,tom64@example.com,0
2025-08-07T15:54:59,32.2,GPay,smarsh@example.com,0
2025-01-03T16:11:51,428.3,GPay,smithrobert@example.net,0
2025-06-30T07:17:02,48.56,PhonePe,itorres@example.net,0
2025-10-24T03:09:27,303.71,GPay,tcrawford@example.net,0
2025-06-23T22:02:29,601.85,PhonePe,fmclean@example.com,0
2025-11-13T23:40:55,484.46,PhonePe,paulbailey@example.net,0
2025-01-14T02:48:11,559.07,PhonePe,michaela00@example.com,0
2025-04-05T20:42:17,165.67,PhonePe,leroy37@example.org,0
2025-01-15T14:47:02,142.62,GPay,kproctor@example.com,0
2025-08-28T09:48:41,324.28,Paytm,sydneyalexander@example.org,0
2025-09-04T14:31:59,436.75,PhonePe,derrick63@example.com,0
2025-03-21T23:01:16,932.51,GPay,nealbrittney@example.net,0
2025-01-04T02:09:53,939.0,Paytm,michealrodriguez@example.net,0
2025-03-04T13:34:55,8.91,Paytm,ngutierrez@example.com,0
2025-04-27T09:29:47,647.87,GPay,vanessacastaneda@example.net,0
2025-04-23T14:49:03,259.36,PhonePe,cheryl54@example.com,0
2025-09-13T07:57:46,304.27,PhonePe,vwright@example.com,0
2025-04-24T11:07:38,372.99,PhonePe,kylescott@example.org,0
2025-11-04T11:14:42,326.93,GPay,cheryl69@example.net,0
2025-08-17T18:42:02,534.84,PhonePe,karensanchez@example.net,0
2025-04-11T09:11:45,830.61,PhonePe,beth43@example.net,0
2025-04-15T17:13:10,333.68,GPay,hbaker@example.net,0
2025-11-21T23:16:33,167.06,Paytm,dustinwilliams@example.com,0
2025-07-14T09:02:16,57.3,PhonePe,uanderson@example.com,0
2025-10-08T23:56:16,128.6,GPay,vanessacaldwell@example.net,0
2025-09-07T12:57:20,930.59,Paytm,cory21@example.org,0
2025-10-23T06:01:57,779.35,Paytm,sanderson@example.org,0
2025-02-14T17:12:55,144.04,PhonePe,egill@example.com,0
2025-04-28T00:51:56,157.9,Paytm,james65@example.com,0
2025-07-03T13:06:56,642.9,Paytm,michelemartinez@example.org,0
2025-01-04T22:42:14,347.16,Paytm,turnerashley@example.com,0
2025-05-29T03:51:04,321.91,GPay,hernandezcheryl@example.net,0
2025-01-22T04:58:49,584.87,Paytm,thomasjo@example.com,0
2025-02-11T09:55:13,841.86,PhonePe,kimberlyharris@example.com,0
2025-05-10T10:45:11,102.3,Paytm,hlin@example.net,0
2025-08-20T00:55:19,328.36,GPay,llee@example.com,0
2025-09-01T21:25:32,449.18,GPay,jmaynard@example.com,0
2025-11-10T01:59:49,529.56,PhonePe,livingstonchelsea@example.org,0
2025-04-12T09:32:55,309.21,PhonePe,angela34@example.net,0
2025-05-08T02:14:51,454.65,GPay,fhughes@example.org,0
2025-03-28T12:51:15,764.92,PhonePe,brandon34@example.org,0
2025-03-15T23:31:47,772.6,Paytm,qmoore@example.net,0
2025-02-22T17:06:45,732.07,PhonePe,hodgejames@example.com,0
2025-04-24T16:40:30,113.02,PhonePe,josephclark@example.org,0
2025-01-08T06:27:03,119.96,Paytm,jesse79@example.com,0
2025-07-15T21:40:19,805.97,GPay,iharrington@example.org,0
2025-01-13T16:30:07,260.7,Paytm,jennifer29@example.com,0
2025-05-29T03:10:36,203.97,PhonePe,hernandezlinda@example.org,0
2025-09-09T03:03:28,511.03,GPay,skim@example.org,1
2025-06-30T21:43:18,125.69,GPay,jacob04@example.org,0
2025-11-23T19:05:28,873.97,GPay,brian38@example.com,0
2025-01-19T05:26:05,240.41,Paytm,fernandohansen@example.com,0
2025-06-13T22:29:01,980.42,GPay,cmorgan@example.com,0
2025-10-11T10:32:02,513.47,GPay,jamesanderson@example.org,0
2025-08-31T04:27:08,812.27,PhonePe,albertsmith@example.com,0
2025-06-05T20:07:56,794.61,PhonePe,lewisnatalie@example.org,0
2025-01-09T12:44:35,197.1,Paytm,jamesortiz@example.com,0
2025-01-27T07:12:13,435.36,GPay,santiagoronald@example.com,0
2025-05-22T19:54:41,314.15,Paytm,kimronald@example.com,0
2025-08-25T18:33:34,306.42,Paytm,karen53@example.net,0
2025-01-23T00:09:39,213.49,GPay,joshuawood@example.org,0
2025-01-31T09:16:02,483.15,Paytm,reneenavarro@example.net,0
2025-10-26T21:01:42,50.95,GPay,lisa23@example.org,0
2025-03-26T04:34:51,356.88,GPay,jennifer20@example.org,0
2025-07-29T18:52:39,293.24,PhonePe,stephen90@example.org,0
2025-06-26T09:37:36,88.53,Paytm,susanstanley@example.org,0
2025-04-24T15:55:12,379.52,PhonePe,ibarrabrian@example.net,0
2025-06-10T14:54:41,589.26,PhonePe,donna87@example.net,0
2025-10-29T10:35:44,225.26,GPay,deckerthomas@example.net,0
2025-09-26T08:26:09,588.07,PhonePe,qmorris@example.com,0
2025-02-11T02:47:16,629.48,PhonePe,sarawilliams@example.com,0
2025-09-06T11:32:35,53.61,Paytm,amandaknapp@example.org,0
2025-11-03T06:28:09,790.51,GPay,vfuller@example.net,0
2025-01-25T21:21:10,49.18,PhonePe,ericgeorge@example.net,0
2025-10-31T16:13:09,480.21,Paytm,paul84@example.net,0
2025-04-09T22:11:07,906.01,Paytm,staceywashington@example.net,0
2025-03-14T20:48:20,709.16,Paytm,eberry@example.org,0
2025-02-08T17:32:52,85.9,Paytm,christopherkrause@example.org,0
2025-07-26T04:29:39,522.55,GPay,cchurch@example.org,0
2025-09-28T15:28:37,650.9,Paytm,toni86@example.net,0
2025-08-27T12:40:21,937.95,PhonePe,caldwellpatricia@example.org,0
2025-06-26T11:27:03,619.63,Paytm,roytodd@example.net,0
2025-01-15T00:02:40,615.46,PhonePe,carmengomez@example.net,0
2025-08-29T13:28:19,438.6,PhonePe,heather29@example.com,0
2025-10-13T12:44:04,824.06,PhonePe,snydergerald@example.org,0
2025-07-11T03:54:57,635.47,Paytm,pgoodman@example.org,0
2025-08-05T12:48:05,127.29,GPay,bwhite@example.com,0
2025-04-23T08:06:41,842.74,GPay,drewbennett@example.com,0
2025-09-21T17:55:27,72.39,PhonePe,gina49@example.net,0
2025-05-29T13:09:34,731.4,Paytm,reginasingh@example.org,0
2025-09-26T21:13:34,845.88,GPay,jamesroberts@example.com,0
2025-06-21T23:22:07,299.94,Paytm,torresmary@example.com,0
2025-07-17T12:15:30,608.83,GPay,alexander70@example.org,0
2025-01-05T00:13:49,462.66,Paytm,christina68@example.net,0
2025-05-16T16:16:45,529.59,PhonePe,salazarnancy@example.org,0
2025-11-03T00:54:19,925.52,PhonePe,ncrawford@example.net,0
2025-03-12T13:11:15,795.01,PhonePe,qsimmons@example.org,0
2025-03-04T02:55:10,760.79,PhonePe,robert42@example.com,0
2025-07-13T09:46:20,982.06,GPay,kflores@example.org,0
2025-05-20T07:15:30,726.39,GPay,andresmiller@example.com,0
2025-05-16T15:36:56,528.63,PhonePe,thomascassandra@example.org,0
2025-09-12T00:50:19,849.07,GPay,ashley22@example.net,0
2025-04-22T00:11:56,578.54,PhonePe,jonessandra@example.com,0
2025-03-26T19:19:17,834.46,PhonePe,hernandezlouis@example.net,0
2025-09-30T07:01:06,576.86,GPay,phall@example.com,0
2025-09-17T13:42:25,738.15,Paytm,debbiejackson@example.net,0
2025-10-08T16:14:14,573.29,GPay,elizabeth20@example.com,0
2025-05-27T09:44:17,445.85,PhonePe,rogersjonathon@example.net,0
2025-01-11T12:17:26,316.31,PhonePe,colton31@example.org,0
2025-09-12T06:15:29,924.69,GPay,williamsaudrey@example.org,0
2025-10-01T13:13:38,823.29,Paytm,calebday@example.org,0
2025-02-28T23:15:05,829.23,Paytm,herringgerald@example.org,0
2025-05-25T12:20:46,538.92,Paytm,william15@example.net,1
2025-03-01T16:09:22,465.21,Paytm,istephens@example.com,0
2025-06-05T21:54:36,319.1,PhonePe,patricia19@example.org,0
2025-07-26T03:46:17,20.96,GPay,jose80@example.com,0
2025-05-01T02:55:16,576.1,GPay,karen00@example.com,0
2025-03-10T23:55:26,11.42,Paytm,hramos@example.com,0
2025-04-05T23:23:21,126.52,PhonePe,abigail66@example.com,0
2025-06-05T01:42:23,308.07,PhonePe,kimberly19@example.com,0
2025-10-09T06:13:26,350.21,PhonePe,jeffbarrett@example.org,0
2025-08-26T02:24:44,43.22,Paytm,jennifergraham@example.org,0
2025-03-11T12:49:36,328.76,GPay,leeandre@example.net,0
2025-01-25T20:11:10,855.73,GPay,mitchellcheryl@example.net,0
2025-03-26T06:11:47,284.12,GPay,campbelltodd@example.net,0
2025-08-09T17:25:27,300.04,GPay,davismichelle@example.com,0
2025-03-01T14:01:03,401.06,Paytm,mchapman@example.net,0
2025-04-18T20:12:45,795.28,GPay,pearsonwillie@example.org,0
2025-02-13T01:36:13,379.74,PhonePe,brownnancy@example.com,0
2025-06-09T03:48:42,79.79,Paytm,mclaughlinjulie@example.net,0
2025-01-01T19:51:42,720.9,GPay,smithsharon@example.net,0
2025-03-04T15:21:56,209.78,Paytm,james63@example.org,0
2025-01-02T11:52:25,61.29,PhonePe,crystal52@example.com,1
2025-04-05T20:46:41,545.01,PhonePe,andreasmith@example.com,0
2025-08-03T19:44:18,91.26,PhonePe,sarakirby@example.net,0
2025-03-08T09:03:12,450.91,Paytm,brownraymond@example.net,0
2025-06-17T20:21:16,334.98,PhonePe,lynnavila@example.org,0
2025-03-30T05:05:00,240.17,GPay,meganhaney@example.org,0
2025-07-14T19:15:58,357.71,GPay,nnunez@example.org,0
2025-11-13T08:13:29,102.16,PhonePe,vrussell@example.org,0
2025-07-16T09:04:33,956.56,Paytm,cynthia86@example.org,0
2025-06-04T10:21:39,134.89,GPay,bgarcia@example.net,0
2025-04-29T08:02:09,472.07,GPay,smithcharles@example.org,0
2025-09-15T19:17:17,855.41,PhonePe,jamesperez@example.net,0
2025-03-01T04:02:50,996.77,PhonePe,nunezmelinda@example.net,0
2025-03-28T22:01:14,5.68,PhonePe,rachael79@example.net,0
2025-01-25T14:00:18,177.91,PhonePe,wnguyen@example.net,0
2025-09-29T23:25:46,257.17,Paytm,sullivanpaula@example.com,0
2025-05-30T18:27:03,412.8,GPay,curtisroberto@example.net,1
2025-10-08T22:07:34,623.83,PhonePe,margaret20@example.net,0
2025-07-29T00:37:56,634.97,Paytm,chaselisa@example.org,0
2025-10-27T03:56:42,872.32,PhonePe,howellstuart@example.com,0
2025-06-09T03:09:40,410.19,PhonePe,murraywesley@example.org,0
2025-05-17T20:04:38,963.37,Paytm,iriley@example.net,1
2025-04-06T21:44:20,560.66,PhonePe,michael72@example.net,1
2025-09-20T08:38:49,980.15,GPay,ewinglynn@example.org,1
2025-09-30T10:24:33,487.12,GPay,sbennett@example.com,0
2025-07-27T07:59:49,933.69,GPay,ngallagher@example.com,0
2025-08-12T05:01:20,264.03,PhonePe,taylorshane@example.com,0
2025-08-28T12:27:29,453.83,Paytm,matthewwalker@example.com,0
2025-09-18T15:41:15,230.69,GPay,afuller@example.com,0
2025-10-14T16:16:53,926.64,Paytm,olivia99@example.org,0
2025-06-22T20:11:00,797.49,PhonePe,courtney29@example.com,0
2025-06-14T07:07:28,260.87,Paytm,bryan79@example.net,0
2025-06-03T22:19:03,860.41,Paytm,asmith@example.net,0
2025-10-31T15:20:27,919.95,GPay,rparker@example.com,0
2025-04-09T23:56:03,506.15,PhonePe,gina94@example.com,0
2025-04-18T02:38:19,938.55,PhonePe,mckayjames@example.net,0
2025-11-08T11:01:12,871.3,PhonePe,daniel73@example.com,0
2025-11-22T19:04:28,112.77,PhonePe,ostone@example.com,0
2025-03-22T02:27:46,538.1,GPay,iquinn@example.net,0
2025-02-11T11:36:51,846.01,PhonePe,lcarter@example.net,0
2025-01-11T20:33:13,888.38,PhonePe,kelly09@example.org,1
2025-09-15T10:30:06,806.24,GPay,uliu@example.org,0
2025-02-15T22:20:01,789.05,PhonePe,martindonald@example.com,0
2025-01-16T04:17:38,775.88,GPay,jross@example.net,0
2025-01-24T18:29:11,203.89,Paytm,larsenharold@example.net,0
2025-11-20T17:22:40,504.37,GPay,michael13@example.org,0
2025-08-05T00:55:25,507.75,PhonePe,nancyballard@example.com,0
2025-07-07T08:55:26,443.74,Paytm,elizabeth88@example.org,0
2025-08-29T08:08:26,223.22,PhonePe,vgreen@example.org,0
2025-08-03T21:25:48,284.68,GPay,robert30@example.org,0
2025-06-23T15:04:14,829.57,Paytm,rose00@example.org,0
2025-01-18T20:02:42,9.42,GPay,jennifer61@example.net,1
2025-10-30T08:39:06,942.14,Paytm,deanna05@example.com,0
2025-04-24T16:56:35,826.08,GPay,grantkatrina@example.org,0
2025-11-17T13:55:10,187.1,GPay,qirwin@example.com,0
2025-06-17T18:28:06,349.33,GPay,ghudson@example.com,0
2025-10-08T00:19:54,923.91,GPay,valdezalyssa@example.org,0
2025-06-10T22:54:39,862.49,GPay,johnsoncrystal@example.org,0
2025-06-16T02:42:09,611.6,PhonePe,pamela10@example.org,0
